text,label
Amazon invoice for electronics purchase,ecommerce
Flipkart order receipt,ecommerce
Myntra invoice,ecommerce
Snapdeal payment receipt,ecommerce
Meesho seller invoice,ecommerce
Apollo Hospital bill,medical
Medical store pharmacy bill,medical
Diagnostic test invoice,medical
Emergency room charges,medical
Clinic consultation bill,medical
Zara fashion invoice,clothing
H&M purchase receipt,clothing
Levi's jeans bill,clothing
Nike store invoice,clothing
Adidas apparel receipt,clothing
Electricity bill from TNEB,utilities
Water supply bill from municipality,utilities
Internet charges Airtel,utilities
Gas bill from Bharat Gas,utilities
Phone bill from Jio,utilities
